n	n:1000	L50	LG50	NG50	min	N80	N50	N20	E-size	max	sum	name
592	124	18	18	78620	1010	35780	78620	140957	97525	327078	4536064	NC_000913-k64/ecoli-1.fa
160	64	10	10	177470	1012	67946	177470	285776	175853	361714	4605618	NC_000913-k364/ecoli-1.fa
435	127	19	20	67346	1020	35780	73702	133026	86392	221615	4537522	k64/ecoli-unitigs.fa
319	84	14	14	106958	1020	44025	106958	203425	119649	268764	4597160	k64/ecoli-contigs.fa
301	69	12	12	133200	1020	63947	133200	222915	142519	284958	4597238	k64/ecoli-scaffolds.fa
126	82	14	14	106958	1020	55991	106958	203425	121422	268764	4597238	k64/ecoli-scaftigs.fa
118	78	15	15	110523	1012	58536	110523	177470	121536	269448	4604052	k364/ecoli-unitigs.fa
85	61	12	12	133800	1829	69113	133800	212177	152345	406743	4652511	k364/ecoli-contigs.fa
75	54	10	10	156989	1829	80774	156989	266415	173200	406743	4652171	k364/ecoli-scaffolds.fa
86	65	13	13	133800	1829	64155	133800	210827	138160	314545	4652171	k364/ecoli-scaftigs.fa
109	81	14	14	106301	1040	57653	106301	209897	129815	313430	4613993	k416/ecoli-unitigs.fa
66	55	10	10	179541	2052	90997	179541	257095	172988	358481	4658816	k416/ecoli-contigs.fa
61	50	9	9	179541	2228	91400	179541	286168	207183	479753	4658777	k416/ecoli-scaffolds.fa
78	67	13	13	113878	2027	80826	113878	212780	143872	314271	4658777	k416/ecoli-scaftigs.fa
129	109	21	21	82237	1037	33351	82237	116108	83097	194094	4597885	k364-K32/ecoli-unitigs.fa
88	74	15	15	107087	1133	66816	107087	176296	118076	236527	4643462	k364-K32/ecoli-contigs.fa
64	51	10	10	176689	2312	89070	176689	265709	177944	363847	4639976	k364-K32/ecoli-scaffolds.fa
86	66	12	12	133800	1283	66816	133800	216544	145061	311673	4638263	k364-K32/ecoli-scaftigs.fa
129	109	21	21	82237	1037	33351	82237	116108	83097	194094	4597885	k364-K32-sealer/ecoli-unitigs.fa
67	55	8	9	204488	1031	79297	207146	285274	207576	432184	4582810	SPAdes 3.1.1/ecoli-scaffolds.fa
68	56	8	9	204488	1031	79297	207146	285274	207574	432184	4582810	SPAdes 3.1.1/ecoli-scaftigs.fa
78	60	10	10	176296	1221	80734	176296	238741	167878	357010	4590288	k364-K32-sealer/ecoli-scaffolds.fa
83	62	10	10	176296	1221	80734	176296	238741	167856	357010	4589842	k364-K32-sealer/ecoli-scaftigs.fa
