n	n:500	L50	min	N80	N50	N20	E-size	max	sum	name
592	136	18	531	35780	78620	140957	97341	327078	4544703	NC_000913-k64/ecoli-1.fa
160	103	10	501	67946	177470	285776	174805	361714	4633359	NC_000913-k364/ecoli-1.fa
118	109	15	505	58536	110523	177470	120941	269448	4626838	k364/ecoli-unitigs.fa
85	81	12	505	69113	133800	212177	151885	406743	4666660	k364/ecoli-contigs.fa
75	71	10	505	80774	156989	266415	172752	406743	4664299	k364/ecoli-scaffolds.fa
86	82	13	505	64155	133800	210827	137802	314545	4664299	k364/ecoli-scaftigs.fa
109	106	14	541	57653	106301	209897	129286	313430	4632995	k416/ecoli-unitigs.fa
66	64	10	678	90997	179541	257095	172709	358481	4666371	k416/ecoli-contigs.fa
61	59	9	678	91400	179541	286168	206848	479753	4666332	k416/ecoli-scaffolds.fa
78	76	13	678	80826	113878	212780	143640	314271	4666332	k416/ecoli-scaftigs.fa
129	122	21	594	32940	82237	116108	82922	194094	4607684	k364-K32/ecoli-unitigs.fa
88	83	15	594	66816	107087	176296	117910	236527	4650047	k364-K32/ecoli-contigs.fa
64	59	10	594	89070	176689	265709	177721	363847	4645835	k364-K32/ecoli-scaffolds.fa
86	73	12	717	66816	133800	216544	144896	311673	4643574	k364-K32/ecoli-scaftigs.fa
129	122	21	594	32940	82237	116108	82922	194094	4607684	k364-K32-sealer/ecoli-unitigs.fa
78	74	10	533	79220	176296	238741	167514	357010	4600290	k364-K32-sealer/ecoli-scaffolds.fa
83	76	10	533	79220	176296	238741	167492	357010	4599844	k364-K32-sealer/ecoli-scaftigs.fa
