Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
nanocorr broken	95	95	13569660	13569660	95	902767	13569660	12157105	38.56	38.15	569173	585932	210972	385061	10	9	19	15	170	64	10628385	43	1 + 1 part	33732	98.972	1.126	0.00	99.14	13.21	0 + 0 part	794307	263474	312587	114768	169414	16	13	34	27
nanocorr	95	95	13569660	13569660	95	902767	13569660	12157105	38.56	38.15	569173	585932	210972	385061	10	9	19	15	170	64	10628385	43	1 + 1 part	33732	98.972	1.126	0.00	98.78	13.05	0 + 0 part	794307	263474	312587	114768	169414	16	13	34	27
k192 broken	8785	287	13606579	11449984	389	225570	11520958	12157105	38.08	38.15	74387	72229	40281	37292	47	51	98	111	52	35	2039739	32	6 + 7 part	22015	94.388	1.003	0.08	79.27	11.16	0 + 0 part	211785	70373	64208	37844	33677	52	56	110	123
k192	8608	110	13641979	11485384	212	924299	11556358	12157105	38.08	38.15	393269	359258	161866	149335	11	12	22	25	97	36	9392779	171	6 + 4 part	10936	94.394	1.007	306.40	79.54	11.20	0 + 0 part	415498	150345	148792	92049	79762	23	25	47	52
k512 broken	4574	1387	14253609	12533479	4574	213914	14253609	12157105	39.24	38.15	48153	59044	14476	31137	83	63	203	133	37	27	1263061	43	1 + 12 part	20558	94.775	1.235	0.00	83.23	14.32	0 + 0 part	213914	46432	54941	13194	29637	87	66	216	140
k512	4416	1229	14285209	12565079	4416	574935	14285209	12157105	39.24	38.15	112884	136210	32635	67788	32	24	89	55	74	46	6056995	170	1 + 11 part	20493	94.777	1.238	221.21	82.96	14.22	0 + 0 part	388217	80142	105127	23583	46851	45	33	121	77
k512-K96 broken	10908	658	12839292	11624986	732	135021	11691073	12157105	38.16	38.15	35957	34098	21386	19019	104	110	209	226	51	40	901107	113	10 + 17 part	39613	94.165	1.018	253.60	84.11	14.28	0 + 0 part	134855	34854	33196	21101	18428	106	113	214	232
k512-K96	5454	324	14447652	11713103	5454	610833	14447652	12157105	38.61	38.15	135427	173348	22929	63675	27	19	93	47	170	121	6419461	802	35 + 4577 part	1504323	94.669	1.125	11337.54	81.94	14.10	0 + 0 part	289979	79362	96641	17029	43883	51	39	142	84
k512-K96-sealer broken	10615	477	12859229	11650731	614	224281	11760414	12157105	38.15	38.15	58477	57030	32447	29556	63	66	129	138	53	40	1187801	118	12 + 17 part	40964	94.562	1.020	252.36	83.76	14.66	0 + 0 part	224281	55413	54402	31119	29082	65	69	134	144
k512-K96-sealer	5454	324	14421192	11686617	5454	610122	14421192	12157105	38.61	38.15	135428	156411	21953	63675	27	20	94	47	164	115	6387766	586	28 + 4568 part	1494979	94.888	1.121	11036.82	79.32	14.29	0 + 0 part	290264	79117	97515	17351	43945	51	38	141	84
