Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
kraghavan-k64 broken	40280	5656	103840184	98657711	7091	687526	99692884	100286401	36.24	35.44	32860	32756	15839	15573	795	804	1896	1924	143	116	3525495	245	57 + 45 part	4081658	94.972	1.005	3.11	13.61	4.74	67435 + 5363 part	273811	28977	28784	13161	12860	912	922	2176	2210
kraghavan-k64	37377	3535	104035526	99086892	4827	1087926	100016832	100286401	36.24	35.44	55058	54965	26675	26457	465	468	1105	1113	345	265	12989195	1172	39 + 28 part	4040167	95.153	1.007	198.38	14.71	6.38	68292 + 4574 part	384721	47222	47109	21404	21312	571	573	1349	1358
k192 broken	5632	2762	99627369	98447435	3203	522885	98758492	100286401	35.44	35.44	82851	81633	39634	37734	335	344	760	790	351	251	14482395	979	26 + 21 part	74167	96.099	1.026	0.54	16.20	8.25	69723 + 3370 part	522885	78667	77019	36630	35338	357	367	813	845
k192	3276	641	102151721	101112145	911	2309053	101297487	100286401	35.44	35.44	436916	450261	221633	225321	64	63	146	143	667	281	78092443	2832	22 + 35 part	135435	96.134	1.052	2492.55	16.81	8.43	69913 + 3197 part	1269533	220923	223406	121549	125621	128	125	279	273
k512 broken	3848	3570	99568149	99381120	3848	584282	99568149	100286401	35.44	35.44	86861	86523	39700	39044	316	320	734	748	348	246	16679940	1055	8 + 21 part	44572	95.945	1.037	0.24	13.60	7.52	69817 + 3308 part	584282	82064	81670	37267	36345	342	347	792	806
k512	1787	1539	102020303	101851351	1787	2109156	102020303	100286401	35.44	35.44	523458	534834	223971	236481	53	52	130	124	612	257	83125418	2743	7 + 16 part	50718	95.963	1.062	2403.83	14.05	7.68	69939 + 3192 part	993336	228460	239892	112512	117646	121	117	278	267
k512-K96 broken	6766	5645	97513771	97260051	5724	433057	97331365	100286401	35.43	35.44	47922	45835	22208	20206	563	595	1310	1414	310	230	7707230	896	11 + 36 part	50245	95.538	1.018	3.07	12.57	7.61	68562 + 4407 part	433057	45835	44206	21458	19592	584	617	1359	1467
k512-K96	5303	4773	97822970	97490360	5303	581972	97822970	100286401	35.43	35.44	60067	57828	27708	25782	461	482	1060	1129	677	486	23421088	1665	27 + 298 part	146760	95.586	1.021	319.13	12.72	7.62	68576 + 4406 part	581069	50664	49233	24240	22336	527	552	1217	1297
k512-K96-scaff broken	6131	5021	97496831	97206466	5131	441071	97304424	100286401	35.43	35.44	60536	57798	27416	25170	448	473	1045	1130	306	219	9773837	1008	11 + 34 part	50043	95.563	1.017	3.12	13.32	8.05	68944 + 4059 part	441071	56882	54982	26275	24163	470	497	1095	1183
k512-K96-scaff	2668	2117	99767345	99405347	2668	2619050	99767345	100286401	35.43	35.44	378923	377079	167866	166077	73	74	174	176	576	263	66522809	3688	39 + 246 part	147656	95.628	1.041	2278.85	14.12	8.32	69127 + 3892 part	1191639	204251	202978	105342	104569	132	133	304	307
k512-K96-sealer broken	5197	4435	97701935	97347291	4872	655410	97650911	100286401	35.43	35.44	75848	73282	34799	31954	358	376	834	893	378	260	16280082	1138	13 + 33 part	50968	95.738	1.020	5.37	15.17	8.36	69339 + 3716 part	564722	70278	68791	32211	29601	390	408	905	970
k512-K96-sealer	2818	2224	99646498	99253998	2816	2616809	99645731	100286401	35.43	35.44	367066	362053	162763	158670	74	75	179	182	532	243	63852318	3112	19 + 123 part	92432	95.764	1.040	1956.74	15.84	8.53	69469 + 3590 part	937014	203169	200738	101846	98114	134	136	310	315
