n	n:1000	L50	LG50	NG50	min	N80	N50	N20	E-size	max	sum	name
145361	12318	1554	1993	12174	1000	4828	14724	35643	21829	130755	88.6e6	WBcel235-k55/celegans-1.fa
117019	10858	1357	1670	14790	1000	5814	17314	41372	25337	137225	90.26e6	WBcel235-k64/celegans-1.fa
64393	7607	920	1048	24911	1000	9868	27254	61273	39565	268307	93.6e6	WBcel235-k96/celegans-1.fa
40159	5955	699	766	34871	1000	14069	37319	81920	52436	287860	95.47e6	WBcel235-k128/celegans-1.fa
18908	3989	444	466	59792	1001	24228	62266	129063	84147	489941	97.59e6	WBcel235-k192/celegans-1.fa
10232	2895	309	317	92134	1000	38338	93420	183363	122773	736690	98.69e6	WBcel235-k256/celegans-1.fa
2452	1425	106	106	252484	1000	111689	252484	617907	361360	1260214	100.1e6	WBcel235-k512/celegans-1.fa
4142	3057	379	395	68553	1002	28238	70168	151103	103679	667498	97.97e6	bwa/WBcel235.depth1+.fa
5807	4100	498	535	49365	1000	20470	51934	117750	74825	496997	96.59e6	bwa/WBcel235.depth2+.fa
37377	3535	456	469	54766	1005	22637	55886	127088	103690	1087221	98.89e6	kraghavan-k64/celegans-scaffolds.fa
47140	11325	1505	1978	12461	1000	5380	15461	36196	22006	130784	87.24e6	k64/celegans-unitigs.fa
15926	7261	912	1095	23520	1000	10207	26732	59161	37725	199990	91.1e6	k128/celegans-unitigs.fa
7078	5277	640	736	36072	1000	14984	40311	85283	54528	338859	92.95e6	k256/celegans-unitigs.fa
4867	4720	542	625	42157	1007	17169	46623	101582	66168	432812	92.92e6	k512/celegans-unitigs.fa
7305	5219	668	745	36193	1000	15262	39166	83295	54176	360210	94.57e6	k384-K96/celegans-unitigs.fa
6301	5764	630	690	39329	1002	15744	41932	89051	57877	360210	95.44e6	k512-K96/celegans-unitigs.fa
5731	5377	623	684	39850	1004	16256	42833	89276	58423	360210	95.26e6	k640-K96/celegans-unitigs.fa
4786	4378	470	515	53380	1002	22411	57347	118229	77771	438743	95.35e6	k512-K96/celegans-long-scaffs.fa
4410	4127	471	517	53503	1014	22379	56967	121663	75536	360210	95.13e6	k640-K96/celegans-long-scaffs.fa
